,10,20,30,40,50,21,31,41,51,32,42,52,43,53,54
0,120.0,202.0,195.0,270.0,194.0,115.0,93.0,118.0,117.0,166.0,182.0,183.0,164.0,159.0,165.0
10,0.0,48.0,65.0,0.0,29.0,24.0,49.0,22.0,0.0,86.0,51.0,48.0,64.0,64.0,28.0
20,278.0,166.0,156.0,140.0,193.0,76.0,73.0,75.0,82.0,183.0,202.0,204.0,250.0,255.0,173.0
1,23.0,55.0,70.0,0.0,33.0,24.0,36.0,20.0,0.0,91.0,44.0,49.0,62.0,69.0,33.0
11,125.0,206.0,175.0,297.0,200.0,104.0,85.0,117.0,104.0,145.0,204.0,162.0,180.0,150.0,177.0
21,287.0,174.0,190.0,134.0,202.0,68.0,75.0,59.0,79.0,192.0,180.0,217.0,181.0,204.0,200.0
2,72.0,178.0,213.0,92.0,151.0,296.0,349.0,228.0,248.0,221.0,140.0,146.0,140.0,150.0,180.0
12,53.0,174.0,183.0,107.0,119.0,300.0,289.0,271.0,228.0,192.0,155.0,138.0,166.0,134.0,143.0
22,811.0,584.0,540.0,737.0,666.0,780.0,738.0,877.0,900.0,511.0,629.0,640.0,580.0,602.0,688.0
