,3210,4210,5210,4310,5310,5410,4320,5320,5420,5430,4321,5321,5421,5431,5432
0,42.0,66.0,49.0,58.0,42.0,66.0,82.0,59.0,92.0,68.0,41.0,34.0,47.0,37.0,54.0
2000,21.0,,24.0,,22.0,34.0,21.0,39.0,60.0,61.0,0.0,0.0,26.0,24.0,34.0
100,,,,,,,0.0,0.0,,,0.0,0.0,,,
1100,,,,,,0.0,0.0,,,,,,,,
2100,,,,,,,0.0,0.0,0.0,0.0,,,,,
200,22.0,29.0,25.0,30.0,23.0,,57.0,40.0,20.0,28.0,21.0,0.0,0.0,0.0,29.0
1200,,,,,,,,,,,,,0.0,0.0,
2200,0.0,,0.0,,0.0,,20.0,36.0,22.0,24.0,0.0,0.0,0.0,0.0,29.0
10,,,0.0,,0.0,0.0,,,,20.0,,,,0.0,0.0
2010,,,,,,,,,0.0,0.0,,,,,0.0
110,,,,,0.0,0.0,,,,,,,,,
1110,,0.0,,0.0,,0.0,,,,,,,,,
2110,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,,0.0
210,,,0.0,,0.0,0.0,,,,0.0,,,,,0.0
1210,0.0,0.0,,0.0,,,,,,,,,,,
2210,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,20.0
20,60.0,86.0,59.0,72.0,53.0,69.0,44.0,34.0,38.0,52.0,21.0,0.0,22.0,21.0,34.0
1020,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,
2020,53.0,35.0,56.0,47.0,58.0,74.0,32.0,39.0,45.0,37.0,0.0,0.0,0.0,0.0,28.0
120,,0.0,,23.0,0.0,0.0,0.0,0.0,,,,,,,
1120,,0.0,,0.0,,0.0,0.0,,,,,,,,
2120,,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,,,,,
220,51.0,55.0,43.0,59.0,45.0,39.0,28.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,34.0
1220,24.0,0.0,,0.0,,,0.0,,,,,0.0,0.0,0.0,
2220,46.0,65.0,68.0,54.0,63.0,69.0,33.0,35.0,42.0,42.0,0.0,0.0,0.0,0.0,58.0
1001,,,,,,0.0,,,,,,,,,
2001,,,,,,,,,0.0,0.0,,,,,
101,,,,,,,0.0,,,,,,,,
1101,,,,,,,0.0,,,20.0,,,,,0.0
2101,,,,,,,,0.0,0.0,0.0,,,,,0.0
201,,,,,,,0.0,,,,,,,,
1201,,,,,,,,,,0.0,,,,,0.0
2201,,,,,,,,0.0,,0.0,,,,,30.0
11,,,,,,0.0,,,,,,,,,
1011,,,,,,,21.0,0.0,,,,,,,
2011,,,,,,,0.0,0.0,0.0,0.0,,,,,
1111,34.0,59.0,55.0,51.0,38.0,63.0,76.0,60.0,91.0,82.0,38.0,33.0,53.0,41.0,59.0
2111,27.0,0.0,0.0,,0.0,36.0,0.0,26.0,64.0,50.0,,0.0,0.0,0.0,30.0
211,,,,,,,,,,,,0.0,,,
1211,0.0,31.0,0.0,39.0,29.0,0.0,63.0,40.0,25.0,0.0,23.0,26.0,0.0,,0.0
2211,0.0,0.0,0.0,0.0,21.0,0.0,24.0,42.0,0.0,0.0,0.0,0.0,0.0,,22.0
21,,0.0,,0.0,,0.0,0.0,,,,,,,,
1021,0.0,21.0,,28.0,0.0,,0.0,0.0,,,,,,,
2021,0.0,,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,,
121,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,
1121,50.0,97.0,58.0,80.0,56.0,82.0,45.0,31.0,44.0,46.0,0.0,0.0,0.0,24.0,32.0
2121,60.0,32.0,63.0,28.0,48.0,95.0,21.0,29.0,53.0,68.0,,0.0,0.0,0.0,43.0
221,0.0,0.0,,0.0,,,0.0,,,,,0.0,0.0,0.0,
1221,44.0,70.0,46.0,80.0,42.0,34.0,45.0,24.0,21.0,25.0,0.0,0.0,0.0,0.0,30.0
2221,61.0,53.0,72.0,53.0,81.0,54.0,33.0,51.0,41.0,36.0,0.0,0.0,0.0,0.0,57.0
2,0.0,,0.0,,0.0,,0.0,23.0,0.0,0.0,49.0,50.0,51.0,39.0,20.0
1002,0.0,,0.0,,0.0,,,,,,,,,,
2002,0.0,20.0,0.0,0.0,0.0,,39.0,25.0,0.0,0.0,48.0,45.0,42.0,49.0,32.0
102,,,,,0.0,,,0.0,,,0.0,0.0,,,
1102,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0
2102,,,,,,,31.0,23.0,,0.0,28.0,29.0,0.0,24.0,0.0
202,0.0,,0.0,,0.0,20.0,0.0,23.0,47.0,40.0,39.0,48.0,57.0,57.0,37.0
1202,,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,20.0,0.0
2202,0.0,0.0,0.0,21.0,0.0,20.0,70.0,48.0,77.0,113.0,88.0,74.0,90.0,130.0,91.0
12,,,,,,,,,,,,,,0.0,0.0
1012,,,,,,,0.0,0.0,,,0.0,0.0,,,
2012,,,,,,,30.0,31.0,0.0,,38.0,43.0,0.0,22.0,0.0
112,,,0.0,,0.0,,,,,,,,,,
1112,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,51.0,37.0,49.0,50.0,31.0
2112,0.0,0.0,0.0,,0.0,,24.0,25.0,20.0,22.0,29.0,43.0,64.0,49.0,29.0
212,,,0.0,,0.0,0.0,,0.0,,21.0,,0.0,,22.0,0.0
1212,0.0,,0.0,,0.0,0.0,0.0,20.0,22.0,29.0,56.0,36.0,36.0,38.0,27.0
2212,0.0,0.0,0.0,0.0,0.0,0.0,60.0,56.0,79.0,74.0,78.0,92.0,96.0,86.0,60.0
22,41.0,0.0,48.0,22.0,42.0,0.0,0.0,22.0,0.0,0.0,32.0,41.0,26.0,39.0,0.0
1022,31.0,,0.0,0.0,0.0,,0.0,0.0,,,20.0,0.0,,,
2022,68.0,116.0,77.0,143.0,124.0,48.0,95.0,84.0,32.0,29.0,121.0,115.0,63.0,52.0,33.0
122,39.0,0.0,0.0,,23.0,,,0.0,,,0.0,0.0,,,
1122,25.0,24.0,23.0,26.0,28.0,0.0,0.0,27.0,0.0,0.0,42.0,46.0,40.0,31.0,0.0
2122,72.0,94.0,96.0,100.0,87.0,53.0,69.0,60.0,37.0,31.0,89.0,85.0,68.0,75.0,46.0
222,103.0,42.0,51.0,39.0,51.0,89.0,29.0,32.0,52.0,51.0,47.0,40.0,68.0,59.0,36.0
1222,82.0,43.0,50.0,34.0,43.0,65.0,23.0,25.0,42.0,40.0,52.0,43.0,57.0,52.0,28.0
2222,350.0,450.0,434.0,417.0,396.0,506.0,319.0,314.0,389.0,358.0,358.0,374.0,443.0,413.0,321.0
