,0=>0 (Support),0=>0 (Confidence),0=>1 (Support),0=>1 (Confidence),0=>2 (Support),0=>2 (Confidence),1=>0 (Support),1=>0 (Confidence),1=>1 (Support),1=>1 (Confidence),1=>2 (Support),1=>2 (Confidence),2=>0 (Support),2=>0 (Confidence),2=>1 (Support),2=>1 (Confidence),2=>2 (Support),2=>2 (Confidence),0-0=>2 (Support),0-0=>2 (Confidence),0-2=>2 (Support),0-2=>2 (Confidence),1-2=>1 (Support),1-2=>1 (Confidence),1-1=>2 (Support),1-1=>2 (Confidence),1-2=>2 (Support),1-2=>2 (Confidence),2-2=>0 (Support),2-2=>0 (Confidence),2-2=>1 (Support),2-2=>1 (Confidence),2-2=>2 (Support),2-2=>2 (Confidence),0-2-2=>2 (Support),0-2-2=>2 (Confidence),2-2-2=>0 (Support),2-2-2=>0 (Confidence),2-2-2=>1 (Support),2-2-2=>1 (Confidence),2-2-2=>2 (Support),2-2-2=>2 (Confidence),2-2-2-2=>2 (Support),2-2-2-2=>2 (Confidence),1-2-2=>2 (Support),1-2-2=>2 (Confidence),0-2=>1 (Support),0-2=>1 (Confidence),1-2=>0 (Support),1-2=>0 (Confidence),0-2=>0 (Support),0-2=>0 (Confidence),0-1=>2 (Support),0-1=>2 (Confidence)
1,0.07331536388140161,0.30699774266365687,0.04797843665768194,0.20090293453724606,0.11752021563342319,0.49209932279909707,0.056064690026954175,0.22559652928416485,0.07547169811320754,0.3036876355748373,0.1169811320754717,0.47071583514099785,0.10943396226415095,0.21368421052631578,0.12452830188679245,0.2431578947368421,0.27816711590296495,0.5431578947368421,0.031266846361185985,0.4264705882352941,0.06846361185983828,0.5825688073394495,0.031805929919137464,0.271889400921659,0.03234501347708895,0.42857142857142855,0.055525606469002696,0.47465437788018433,0.05929919137466307,0.21359223300970873,0.06415094339622641,0.23106796116504855,0.15417789757412398,0.5553398058252427,0.042048517520215635,0.6190476190476191,0.03288409703504043,0.21328671328671328,0.033423180592991916,0.21678321678321677,0.08787061994609165,0.5699300699300699,0.053369272237196765,0.6073619631901841,,,,,,,,,,
11,,,,,0.07601078167115903,0.6130434782608696,,,,,0.07115902964959568,0.6,0.07493261455525606,0.099002849002849,0.07169811320754717,0.09472934472934473,0.6102425876010782,0.8062678062678063,,,0.04851752021563342,0.6428571428571429,,,,,0.04797843665768194,0.6742424242424242,0.04959568733153639,0.0812720848056537,0.04690026954177898,0.07685512367491167,0.5137466307277628,0.8418727915194346,0.03504043126684636,0.7222222222222222,0.03504043126684636,0.06820566631689402,0.03234501347708895,0.06295907660020986,0.4463611859838275,0.8688352570828961,0.3967654986522911,0.8888888888888888,0.03234501347708895,0.6741573033707865,,,,,,,,
293,0.0646900269541779,0.2608695652173913,0.06415094339622641,0.25869565217391305,0.11913746630727763,0.48043478260869565,0.06522911051212937,0.26593406593406593,0.06576819407008086,0.2681318681318681,0.11428571428571428,0.46593406593406594,0.11805929919137466,0.23322683706070288,0.11482479784366577,0.2268370607028754,0.2733153638814016,0.5399361022364217,,,0.05983827493261455,0.502262443438914,,,,,0.05498652291105121,0.4811320754716981,0.056064690026954175,0.20553359683794467,0.05822102425876011,0.2134387351778656,0.15849056603773584,0.5810276679841897,0.033423180592991916,0.5585585585585585,,,0.033962264150943396,0.2150170648464164,0.0954177897574124,0.6040955631399317,0.06091644204851752,0.6420454545454546,,,0.031266846361185985,0.26244343891402716,0.033962264150943396,0.2971698113207547,,,,
857,0.0710688304420817,0.26569037656903766,0.06267487409065473,0.23430962343096234,0.13374370453273643,0.5,0.06547285954113038,0.2765957446808511,0.06883044208170118,0.2907801418439716,0.10240626748740907,0.4326241134751773,0.13038612199216565,0.2632768361581921,0.10520425293788473,0.21242937853107344,0.259653049804141,0.5242937853107345,0.035254616675993285,0.49606299212598426,0.063794068270845,0.4769874476987448,,,,,0.047006155567991044,0.45901639344262296,0.06603245663122552,0.2548596112311015,0.04420817011751539,0.17062634989200864,0.14885282596530497,0.5745140388768899,0.0318970341354225,0.5,0.035254616675993285,0.23773584905660378,,,0.09009513150531617,0.6075471698113207,0.06323447118074986,0.70625,,,0.03749300503637381,0.2803347280334728,0.0318970341354225,0.3114754098360656,0.032456631225517625,0.24267782426778242,,
13,0.055525606469002696,0.26208651399491095,0.04743935309973046,0.22391857506361323,0.10889487870619946,0.5139949109414759,0.04905660377358491,0.21064814814814814,0.06684636118598383,0.28703703703703703,0.1169811320754717,0.5023148148148148,0.10727762803234502,0.1933916423712342,0.11805929919137466,0.21282798833819241,0.3293800539083558,0.5937803692905733,,,0.06307277628032346,0.5792079207920792,,,0.030727762803234502,0.4596774193548387,0.05768194070080863,0.4930875576036866,0.052830188679245285,0.16065573770491803,0.0673854447439353,0.20491803278688525,0.2086253369272237,0.6344262295081967,0.03611859838274933,0.5726495726495726,0.03288409703504043,0.15803108808290156,0.03719676549865229,0.17875647668393782,0.13800539083557953,0.6632124352331606,0.09703504043126684,0.7058823529411765,0.03450134770889488,0.5981308411214953,,,0.031266846361185985,0.2672811059907834,,,,
23,0.05498652291105121,0.25888324873096447,0.05768194070080863,0.2715736040609137,0.09973045822102426,0.46954314720812185,0.05390835579514825,0.2702702702702703,0.04797843665768194,0.24054054054054055,0.09757412398921833,0.4891891891891892,0.10350404312668464,0.1761467889908257,0.09326145552560647,0.15871559633027524,0.3908355795148248,0.6651376146788991,,,0.061455525606469004,0.6195652173913043,,,,,0.05121293800539083,0.5248618784530387,0.06199460916442048,0.15862068965517243,0.050673854447439354,0.1296551724137931,0.27816711590296495,0.7117241379310345,0.03611859838274933,0.5877192982456141,0.03611859838274933,0.1298449612403101,0.03018867924528302,0.10852713178294573,0.21185983827493263,0.7616279069767442,0.17142857142857143,0.8091603053435115,0.03018867924528302,0.5894736842105263,,,,,,,0.03018867924528302,0.5233644859813084
